,date,title,Zürich,Bern,Luzern,Uri,Schwyz,Obwalden,Nidwalden,Glarus,Zug,Freiburg,Solothurn,Basel-Stadt,Basel-Landschaft,Schaffhausen,Appenzell A.-Rh.,Appenzell I.-Rh.,St. Gallen,Graubünden,Aargau,Thurgau,Tessin,Waadt,Wallis,Neuenburg,Genf,Jura
586,28.02.2016,Volksinitiative vom 28.12.2012 'Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)',0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
587,28.02.2016,Volksinitiative vom 24.03.2014 'Keine Spekulation mit Nahrungsmitteln!',0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
588,28.02.2016,Ãnderung vom 26.09.2014 des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (STVG) (Sanierung Gotthard-Strassentunnel),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
589,05.06.2016,Volksinitiative vom 30.05.2013 'Pro Service public',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,05.06.2016,Volksinitiative vom 04.10.2013 'Für ein bedingungsloses Grundeinkommen',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,05.06.2016,Volksinitiative vom 10.03.2014 'Für eine faire Verkehrsfinanzierung',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,05.06.2016,"Ãnderung vom 12.12.2014 des Bundesgesetzes über die medizinisch unterstützte Fortpflanzung (Fortpflanzungsmedizingesetz, FMedG)",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
593,05.06.2016,Ãnderung vom 25.09.2015 des Asylgesetzes (AsylG),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
594,25.09.2016,Volksinitiative vom 06.09.2012 'Für eine nachhaltige und ressourceneffiziente Wirtschaft (Grüne Wirtschaft)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
595,25.09.2016,Volksinitiative vom 17.12.2013 'AHVplus: für eine starke AHV',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
596,25.09.2016,"Bundesgesetz vom 25.09.2015 über den Nachrichtendienst (Nachrichtendienstgesetz, NDG)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
597,27.11.2016,Volksinitiative vom 16.11.2012 'Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative)',0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1
598,12.02.2017,Bundesbeschluss vom 30.09.2016 über die erleichterte Einbürgerung von Personen der dritten Ausländergeneration,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
599,12.02.2017,Bundesbeschluss vom 30.09.2016 über die Schaffung eines Fonds für die Nationalstrassen und den Agglomerationsverkehr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
600,12.02.2017,Bundesgesetz vom 17.06.2016 über steuerliche Massnahmen zur Stärkung der Wettbewerbsfähigkeit des Unternehmensstandorts Schweiz (Unternehmenssteuerreformgesetz III),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
601,21.05.2017,Energiegesetz (EnG) vom 30.09.2016,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
602,24.09.2017,Bundesbeschluss vom 14.03.2017 über die Ernährungssicherheit (direkter Gegenentwurf zur Volksinitiative 'Für Ernährungssicherheit'),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
603,24.09.2017,Bundesbeschluss vom 17.03.2017 über die Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1
604,24.09.2017,Bundesgesetz vom 17.03.2017 über die Reform der Altersvorsorge 2020,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
605,04.03.2018,Bundesbeschluss vom 16.06.2017 über die neue Finanzordnung 2021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
606,04.03.2018,Volksinitiative vom 11.12.2015 'Ja zur Abschaffung der Radio- und Fernsehgebühren (Abschaffung der Billag-Gebühren)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
